"Delovno aktivno prebivalstvo, registrirane brezposelne osebe in stopnje"
"registrirane brezposelnosti po: OBÈINE, LETO, SPOL , MERITVE"

" ";" ";"Spol - SKUPAJ"
" ";" ";"4 Stopnja registrirane brezposelnosti"
"Ajdovšèina"
" ";"2005";20.0
" ";"2006";17.5
" ";"2007";13.7
" ";"2008";12.2
" ";"2009";17.0
" ";"2010";21.8
" ";"2011";20.5
" ";"2012";20.2
" ";"2013";20.7
" ";"2014";21.7
" ";"2015";22.2
" ";"2016";20.1
"Èrna na Koroškem"
" ";"2005";10.5
" ";"2006";10.1
" ";"2007";8.8
" ";"2008";7.8
" ";"2009";10.7
" ";"2010";11.1
" ";"2011";10.7
" ";"2012";9.5
" ";"2013";9.9
" ";"2014";9.3
" ";"2015";8.5
" ";"2016";8.1
"Èrnomelj"
" ";"2005";12.0
" ";"2006";11.6
" ";"2007";8.9
" ";"2008";8.3
" ";"2009";12.5
" ";"2010";12.7
" ";"2011";15.3
" ";"2012";18.7
" ";"2013";20.5
" ";"2014";21.5
" ";"2015";20.9
" ";"2016";18.3
"Destrnik"
" ";"2005";11.8
" ";"2006";10.7
" ";"2007";8.7
" ";"2008";7.5
" ";"2009";11.3
" ";"2010";12.4
" ";"2011";11.4
" ";"2012";11.2
" ";"2013";10.6
" ";"2014";10.1
" ";"2015";9.7
" ";"2016";9.0
"Divaèa"
" ";"2005";6.2
" ";"2006";5.4
" ";"2007";4.3
" ";"2008";3.3
" ";"2009";5.8
" ";"2010";6.8
" ";"2011";7.8
" ";"2012";8.7
" ";"2013";9.9
" ";"2014";9.8
" ";"2015";9.3
" ";"2016";9.1
"Dobje"
" ";"2005";13.2
" ";"2006";11.4
" ";"2007";10.0
" ";"2008";7.6
" ";"2009";8.6
" ";"2010";8.5
" ";"2011";8.5
" ";"2012";9.6
" ";"2013";10.0
" ";"2014";10.0
" ";"2015";9.9
" ";"2016";10.0
"Dobrepolje"
" ";"2005";5.6
" ";"2006";4.8
" ";"2007";4.4
" ";"2008";3.5
" ";"2009";4.9
" ";"2010";6.4
" ";"2011";7.1
" ";"2012";7.3
" ";"2013";8.9
" ";"2014";8.9
" ";"2015";8.5
" ";"2016";8.5
"Dobrna"
" ";"2005";8.7
" ";"2006";8.4
" ";"2007";7.0
" ";"2008";5.7
" ";"2009";7.8
" ";"2010";8.8
" ";"2011";9.4
" ";"2012";9.4
" ";"2013";10.2
" ";"2014";9.6
" ";"2015";9.8
" ";"2016";9.6
"Dobrova - Polhov Gradec"
" ";"2005";3.4
" ";"2006";3.3
" ";"2007";4.0
" ";"2008";3.0
" ";"2009";4.0
" ";"2010";5.9
" ";"2011";6.4
" ";"2012";6.4
" ";"2013";7.8
" ";"2014";7.9
" ";"2015";7.2
" ";"2016";6.9
"Dobrovnik/Dobronak"
" ";"2005";23.6
" ";"2006";20.8
" ";"2007";19.7
" ";"2008";16.0
" ";"2009";20.3
" ";"2010";22.6
" ";"2011";22.9
" ";"2012";23.3
" ";"2013";25.1
" ";"2014";23.4
" ";"2015";24.7
" ";"2016";22.8
"Dol pri Ljubljani"
" ";"2005";5.4
" ";"2006";5.6
" ";"2007";5.0
" ";"2008";3.9
" ";"2009";4.8
" ";"2010";6.0
" ";"2011";7.1
" ";"2012";7.4
" ";"2013";8.8
" ";"2014";9.7
" ";"2015";8.7
" ";"2016";7.5
"Dolenjske Toplice"
" ";"2005";3.5
" ";"2006";4.2
" ";"2007";3.6
" ";"2008";3.7
" ";"2009";4.9
" ";"2010";6.2
" ";"2011";9.9
" ";"2012";12.1
" ";"2013";13.0
" ";"2014";11.4
" ";"2015";9.7
" ";"2016";7.3
"Domžale"
" ";"2005";7.4
" ";"2006";7.0
" ";"2007";5.5
" ";"2008";4.4
" ";"2009";6.2
" ";"2010";7.7
" ";"2011";9.0
" ";"2012";8.7
" ";"2013";10.0
" ";"2014";10.3
" ";"2015";9.5
" ";"2016";8.4
"Dornava"
" ";"2005";11.1
" ";"2006";9.0
" ";"2007";8.0
" ";"2008";6.7
" ";"2009";10.0
" ";"2010";10.8
" ";"2011";11.4
" ";"2012";11.1
" ";"2013";11.6
" ";"2014";10.8
" ";"2015";9.1
" ";"2016";8.4
